id,Comments,Gender,Reason
1,"部屋は清潔でした。","女性","レジャー"
2,"何もない","女性","ビジネス"
3,"コストパフォーマンスに優れている","男性","レジャー"
4,"駐車場が小さすぎます。 客室内に無料Wi-Fiはありません。 子供用のベビーベッドがありません。","女性","レジャー"
5,"快適な客室, 素晴らしい朝食, 素晴らしいサービス","男性","ビジネス"
6,"ビーチ沿いの静かなロケーション。","女性","ビジネス"
7,"快適なサービス","女性","レジャー"
8,"美しい田園地帯と海の景色。","男性","レジャー"
9,"美しい場所","女性","ビジネス"
10,"サービス, 部屋とバスルームの清潔さと整頓性。 豊富で想像力豊かな朝食ビュッフェ","女性","ビジネス"
11,"優れたサービス","男性","ビジネス"
12,"ビーチ沿いの素晴らしいロケーション, 多様な遠足の提供, 種類豊富なビュッフェ, フレンドリーなサービススタッフ","男性","ビジネス"
13,"フレンドリーなルームサービス, 親切なスタッフ","女性","レジャー"
14,"ホテルのスタッフはいつもとても丁寧でした。 朝食ビュッフェは非常に単調でした,  毎朝同じものが提供され、新鮮な果物はありませんでした","女性","レジャー"
15,"清潔なホテル, しかし部屋は小さいです。","男性","ビジネス"
16,"サンテラスは素晴らしかった, スパもとても良かったです。","女性","ビジネス"
17,"とても静か, しかし非常に高価","男性","レジャー"
18,"朝食ビュッフェ, 豪華なバスルーム。 スタッフの親切さ, ツアーガイド","女性","ビジネス"
19,"優れた価格/品質比, 部屋の素晴らしい技術設備, 夜はうるさい","男性","レジャー"
20,"フレンドリーなサービス,  ホテル全体が静かで清潔でした。 ベッドは少し小さすぎました, 伸びることができませんでした。","男性","レジャー"
21,"サービス, 静かな場所, 客室設備, 駐車場はありません","男性","レジャー"
22,"朝食ビュッフェのセレクション, 部屋の大きさが良かった, 親切なスタッフ","女性","レジャー"
23,"素敵な雰囲気, 素晴らしい装飾, 素晴らしいサービスですが、朝食の時間が限られています。","女性","ビジネス"
24,"朝食ビュッフェ, ラウンジ, 良いサービス","女性","レジャー"
25,"おいしい料理を楽しみました, フレンドリーなスタッフ, 部屋, 清潔さ, 景色, 市内中心部への近さ,  ビーチ, 海, 輸送, アクセシビリティ","男性","ビジネス"
26,"妻と私は部屋の広さに満足しました, ラウンジ, スパとレストラン。","男性","レジャー"
27,"部屋とサービスに満足しました","男性","ビジネス"
28,"良いサービス","女性","レジャー"
29,"部屋は小さいですが居心地が良いです。 素晴らしいレストランです。","男性","ビジネス"
30,"小さいながらも居心地の良い部屋です。 しかし、夜間のポーターは非常に不快でした","女性","ビジネス"
31,"部屋の装飾が素晴らしく、スタッフも親切でした。","男性","ビジネス"
32,"すべて順調でした。 ホテルは良い状態でした","女性","レジャー"
33,"価格性能比は適切です。 ロケーションは最高です。 ","女性","レジャー"
34,"部屋はとてもよく整っています","男性","ビジネス"
35,"景色は素晴らしいです！ 素晴らしい改装","女性","レジャー"
36,"ホテルの立地は本当に最高です。 スタッフの質が悪い","女性","レジャー"
37,"部屋は新しく改装されました, とても広くて清潔です。 価格は手頃です。","女性","レジャー"
38,"価格とパフォーマンスのバランスが良いホテル, しかしエアコンは個別に調節できない","男性","ビジネス"
39,"宿泊施設にとても満足しました, 場所とサービス。 その上, 部屋は非常に清潔でした。 私たちは戻ります","女性","レジャー"
40,"中心部に位置する、非常に手入れの行き届いた家。","女性","レジャー"
41,"強くお勧めします","男性","ビジネス"
42,"ホテルのスタッフはとてもフレンドリーで親切でした。","男性","レジャー"
43,"ホテルはとても満足できるものでした。","女性","ビジネス"
44,"価格は本当に素晴らしかった","男性","ビジネス"
45,"部屋はとても清潔で広々としています。","女性","ビジネス"
46,"ホテルはとても静かです, しかし、部屋は毎日掃除されませんでした。","女性","レジャー"
47,"スタッフはフレンドリーで親切でした。","男性","レジャー"
48,"フレンドリーで丁寧なスタッフ。","男性","ビジネス"
49,"私たちはすぐに安心しました, まるで家にいるみたい。","男性","ビジネス"
50,"とても美しい。 スイートは設備が整っていてとても素敵です。","男性","レジャー"
51,"とてもよく運営されているホテル","男性","レジャー"
52,"静かなホテル","女性","ビジネス"
53,"とても静かなホテル","男性","ビジネス"
54,"このホテルを強くお勧めします。 とても素敵で親切なサービスでした。","男性","レジャー"
55,"美しい景色の中にある素晴らしいホテル","男性","レジャー"
56,"素晴らしいロケーション。","女性","レジャー"
57,"このホテルは静けさを求める人にとっては夢のような場所です。","男性","レジャー"
58,"部屋はとてもよく整備されていて清潔です","女性","レジャー"
59,"とても手入れの行き届いたホテルです。","女性","ビジネス"
60,"コストパフォーマンスに優れている","女性","レジャー"
61,"このホテルはあらゆる点で必見です：清潔さ, 食品の質と種類","女性","レジャー"
62,"家族向け, 静かな, クリーン。","女性","レジャー"
63,"常に品質の向上に努めています。","男性","ビジネス"
64,"サービスはよかったです。","女性","レジャー"
65,"サービスはよかったです。","男性","ビジネス"
66,"素晴らしくてとても安いルームサービス","女性","レジャー"
67,"品質と衛生状態が良い","女性","ビジネス"
68,"ビュッフェの品揃えがとても良いです。","女性","ビジネス"
69,"朝食には様々な料理が並びます。","女性","レジャー"
70,"部屋は良かった, 清潔で手入れが行き届いています。 エアコンは調節可能です。","男性","ビジネス"
71,"アパートは設備が整っています。","男性","ビジネス"
72,"バスルームは大丈夫でした。","男性","レジャー"
73,"価格性能比は素晴らしいです！","男性","レジャー"
74,"お金に見合う価値が超あります!","女性","レジャー"
75,"私たちは食べ物に嬉しい驚きを覚えました。 ビュッフェ式朝食はいつも豊富で美味しかったです","男性","レジャー"
76,"ホテルはとても静かです。 私にとって, それは最適でした。","男性","ビジネス"
77,"部屋は大丈夫。","男性","ビジネス"
78,"プールはいいです, 常に清潔で、サンラウンジャーもいつでもご利用いただけます。","男性","レジャー"
79,"お子様に最適","女性","レジャー"
80,"完璧なロケーション, 優秀なスタッフ。 コストパフォーマンスに優れている","男性","ビジネス"
81,"すべてが素晴らしかったです。","男性","ビジネス"
82,"とても清潔な施設と美しいアパート。","男性","レジャー"
83,"食べ物は素晴らしくて美味しかったです。","女性","ビジネス"
84,"プールはきれいです","女性","レジャー"
85,"全体的にはきれいな場所での素敵な休暇でした, フレンドリーな環境。","男性","レジャー"
86,"スタッフはとてもフレンドリーで親切です","男性","ビジネス"
87,"部屋はとてもモダンで快適で、バスルームも広かったです。","男性","レジャー"
88,"全体として, ホテルは1週間とても良かったです, したがって強くお勧めします。","男性","レジャー"
89,"素晴らしいロケーション。 これまで宿泊したホテルの中で最高のホテルの一つです。","男性","レジャー"
90,"良い場所です。","女性","ビジネス"
91,"場所。","男性","ビジネス"
92,"寝具の品質は劣っていました","男性","レジャー"
93,"この場所をお勧めします","女性","レジャー"
94,"きちんとした清潔なホテル。 素晴らしいアップグレード","男性","レジャー"
95,"きちんとしたホテル","女性","ビジネス"
96,"ちゃんとした, 清潔なホテル","男性","レジャー"
97,"清潔なホテル","男性","レジャー"
98,"技術的なサービスは申し分ありませんでした。","男性","レジャー"
99,"とても美味しい料理","女性","ビジネス"
100,"とてもフレンドリーな対応, しかし、バスルームに悪臭がしました。","男性","レジャー"
101,"素晴らしいサービス, 食事と部屋。","女性","レジャー"
102,"素晴らしい屋内プールとスパ設備","女性","ビジネス"
103,"とても広々とした部屋","女性","ビジネス"
104,"おいしい朝食。 全体的にサービスにとても満足しました","男性","レジャー"
105,"とても良いスタッフ","男性","ビジネス"
106,"とてもフレンドリーで丁寧なサービスに感謝したいと思います。","男性","レジャー"
107,"食べ物は美味しくて種類も豊富でした","男性","ビジネス"
108,"素晴らしいロケーションにある美しいホテル。","女性","レジャー"
109,"静かなホテル","男性","ビジネス"
110,"無料インターネットはありません。 無料のテレビはありません。 部屋が狭すぎる","男性","ビジネス"
111,"部屋は臭くて狭かった","女性","ビジネス"
112,"親切なスタッフ","男性","レジャー"
113,"初め, 良い価格, 第二に, フレンドリーなスタッフ","女性","レジャー"
114,"レストランの品揃えがとても良い","女性","ビジネス"
115,"ロケーションは最高","女性","ビジネス"
116,"親切なスタッフ","女性","レジャー"
117,"とても静か","女性","レジャー"
118,"夕食は素晴らしかったです。","女性","レジャー"
119,"家族連れに最適です。","女性","レジャー"
120,"部屋は広くて快適でした","男性","レジャー"
121,"ウェイターはとてもフレンドリーでした。 私の部屋は少し小さかったが快適でした。","男性","ビジネス"
122,"重要なのは価格が手頃だ","女性","レジャー"
123,"便利な場所にある","男性","レジャー"
124,"ビュッフェにはバラエティに富んだ料理がありました","男性","レジャー"
125,"素晴らしいプール","男性","レジャー"
126,"衛生状態が良い","女性","ビジネス"
127,"騒音なし, 空港に非常に近いです。","男性","ビジネス"
128,"ルームサービスは早くて、値段も高すぎなかった","男性","ビジネス"
129,"朝食はとても美味しかったです","女性","レジャー"
130,"清潔でモダンなバスルーム","男性","ビジネス"
131,"素敵なホテル","女性","ビジネス"
132,"完璧な滞在","男性","レジャー"
133,"スタッフはとても親切でした","女性","レジャー"
134,"素敵で広々とした部屋","男性","レジャー"
135,"部屋は清潔で、バスルームも本当に素敵でした。","男性","レジャー"
136,"食べ物は美味しかった","女性","レジャー"
137,"部屋は素敵です, 川を見下ろす","男性","レジャー"
138,"美しい場所","男性","レジャー"
139,"とても静か","女性","ビジネス"
140,"部屋はとてもきれいでした","女性","レジャー"
141,"期待通りのサービスと清潔さ","女性","レジャー"
142,"フレンドリーなスタッフ","女性","レジャー"
143,"部屋は清潔でした","男性","ビジネス"
144,"とてもスタイリッシュ, モダンなホテル","男性","レジャー"
145,"良い場所","男性","ビジネス"
146,"フレンドリーなサービス","男性","ビジネス"
147,"良い価格","女性","レジャー"
148,"すべてがきれいでした","女性","ビジネス"
149,"迅速なサービス","女性","レジャー"
150,"おいしい朝食","女性","ビジネス"
151,"レストランの品揃えが豊富","女性","レジャー"
152,"値段の割に食事は美味しかった, しかし、毎日"じ"日替わりメ"ュー"です","女性","レジャー"
153,"場所と価格","男性","レジャー"
154,"スタッフはとても勤勉で礼儀正しい","男性","ビジネス"
155,"素晴らしいロケーション","男性","ビジネス"
156,"とても良いサービスでした。","女性","レジャー"
157,"衛生状態が非常に良い。 バスルームは清潔でした","女性","レジャー"
158,"正直に言うと何もありません!","男性","ビジネス"
159,"廊下と階段は清潔で明るかった, しかし、部屋とバスルームは埃っぽかったです。","女性","ビジネス"
160,"良い価格","女性","ビジネス"
161,"新しいサウナはとても良い","男性","レジャー"
162,"朝食はとても美味しかったです","男性","レジャー"
163,"部屋はかなり広い","男性","ビジネス"
164,"駐車場はとても便利","男性","レジャー"
165,"費用対効果が低い。","男性","レジャー"
166,"お子様連れに優しいホテルです。夫と子供達とまた必ず来ます。","女性","ビジネス"
167,"バーはとても居心地がよく、値段に見合った価値がありました","女性","ビジネス"
168,"すべてがきれいでした","女性","レジャー"
169,"ルームサービスは非常に正確です","女性","ビジネス"
170,"良い価格","女性","ビジネス"
171,"清潔でモダンなホテル","女性","ビジネス"
172,"部屋は暖かくて快適でした","男性","ビジネス"
173,"とても静かです。 リラックス","女性","ビジネス"
174,"部屋とバスルームはモダンで清潔でした","男性","レジャー"
175,"問題ない","女性","ビジネス"
176,"レストランでは美味しい郷土料理を楽しめます","女性","ビジネス"
177,"車で簡単にアクセスできます。","男性","レジャー"
178,"食事は素晴らしかったです。 とても素晴らしい時間を過ごしました。","男性","ビジネス"
179,"雰囲気抜群。","女性","レジャー"
180,"朝食はとても美味しく、料金に含まれていました。","女性","レジャー"
181,"ダイニングルームとバーは常に清潔です。 空港に近いホテル。","女性","ビジネス"
182,"モダンで新鮮な玄関ホール","女性","ビジネス"
183,"良い価格","女性","レジャー"
184,"とても静かです。 アップグレードされた部屋は素晴らしかったです。 フロントのスタッフはとても親切でした。","女性","レジャー"
185,"駐車場が高すぎる","女性","レジャー"
186,"ホテルはとても清潔でした, スタッフはいつもフレンドリーでした","女性","レジャー"
187,"サービスは期待通り良かった","男性","レジャー"
188,"バスルームはとても清潔でした","女性","レジャー"
189,"部屋はとても清潔","男性","レジャー"
190,"地元の料理と地元のワインを楽しみました","男性","レジャー"
191,"部屋の唯一の問題は、エアコンをオフにできないことです","女性","ビジネス"
192,"とても古い浴槽（でも清潔！）","女性","ビジネス"
193,"アップグレードはありません。 デスクで約20分を無駄にする","男性","ビジネス"
194,"残念ながら、すべて追加料金がかかります。","男性","レジャー"
195,"スポーツプログラムの欠如","男性","ビジネス"
196,"スポーツ施設なし","男性","ビジネス"
197,"食べ物は品質の面で改善できる可能性があります。","女性","レジャー"
198,"このホテルは私が訪れた中で最悪の場所だ","男性","レジャー"
199,"サービスも価格も良かったです。 しかし, このレストランはお勧めできません","女性","ビジネス"
200,"とても不親切な受付でした。","男性","ビジネス"
201,"わかりにくい受付！！ チェックインには何時間もかかりました。","男性","ビジネス"
202,"朝食は高すぎました。基本的な朝食はいつも同じでした。","女性","レジャー"
203,"とても素敵なスイートルームを用意してくれました, しかし食べ物が冷めてしまったら","女性","レジャー"
204,"ダイニングルームは少し暗かった","女性","レジャー"
205,"妻と私は今回で3回目の宿泊となりますが、滞在に非常に満足しています。","男性","レジャー"
206,"駐車場は無料になるかもしれない","男性","レジャー"
207,"ホテルを見つけるのが大変でした, しかし素晴らしいサービス","女性","レジャー"
208,"素晴らしい料理です！","女性","レジャー"
209,"残念な景色。 私の部屋にはタバコの臭いがしました。","男性","ビジネス"
210,"サービスが遅すぎました。","男性","ビジネス"
211,"小さな部屋。 ルームサービスやレストランはご利用いただけません。","女性","レジャー"
212,"ワインは高すぎた","男性","レジャー"
213,"部屋に金庫はありません","男性","レジャー"
214,"4階に悪臭がする。 壁が薄いため、夜の睡眠が不快です。 便座の交換が必要","女性","ビジネス"
215,"インターネットにアクセスしたい","男性","レジャー"
216,"ベッドは寝心地が悪かった, カーペットは汚れていた","女性","ビジネス"
217,"廊下は暗すぎた","女性","ビジネス"
218,"ウェイトレスは食べ物にナッツが含まれていないかどうかは言えなかった。 私はナッツアレルギーです","女性","ビジネス"
219,"サービスが遅かった。","女性","レジャー"
220,"朝食に選択肢がない","女性","レジャー"
221,"インターネット接続がなかった","女性","レジャー"
222,"食事の時間が早すぎました。 ダイニングエリアが狭くてひどかった","男性","レジャー"
223,"朝食は追加料金がかかります","女性","レジャー"
224,"スタッフも充実しており、清潔感のある素敵なホテルです。","男性","ビジネス"
225,"部屋は毎日掃除されなかった","女性","レジャー"
226,"プールはいつも閉まっていた","女性","ビジネス"
227,"朝食に十分な時間をかけられない","女性","ビジネス"
228,"ベッドは快適ではなかった","女性","レジャー"
229,"テレビが壊れた","男性","ビジネス"
230,"完璧な滞在でした。","男性","ビジネス"
231,"メンテナンスの行き届いていないホテル","男性","レジャー"
232,"夕方の騒音が多すぎる","女性","レジャー"
233,"バスルームに石鹸がなかった","男性","ビジネス"
234,"暖房の音がうるさかった（夜）","男性","ビジネス"
235,"レストランで, 食器はとても古くて汚かった","女性","レジャー"
236,"ウェイトレスの一人は非常に失礼だった","男性","レジャー"
237,"高価で質の悪いルームサービス","男性","レジャー"
238,"ジュースは新鮮ではなかった","女性","ビジネス"
239,"部屋にヘアドライヤーはありません","女性","レジャー"
240,"マットレスはとても不快でした","女性","レジャー"
241,"エレベーターの隣の部屋。 とてもうるさい","女性","レジャー"
242,"バーの音楽がひどい","男性","ビジネス"
243,"バスルームの鏡が汚れていた","女性","レジャー"
244,"非常に古風な家具。 硬いマットレス","男性","ビジネス"
245,"ファミリールームが足りない","女性","レジャー"
246,"インターネットアクセスなし","女性","レジャー"
247,"ホテルラウンジはあまり使い勝手がよくない","女性","ビジネス"
248,"部屋に満足していない - かなり狭すぎる","女性","レジャー"
249,"ホテルは中心部に位置していない。ビジネスで訪れたが、レジャーで訪れることはないだろう。","女性","ビジネス"
250,"バスルームが小さすぎた","男性","レジャー"
251,"設備が悪い","男性","ビジネス"
252,"小規模会議室","男性","ビジネス"
253,"不親切なウェイトレス","男性","レジャー"
254,"ベッドが硬すぎた","女性","レジャー"
255,"駐車場が暗すぎた","女性","ビジネス"
256,"バーは高すぎた","男性","レジャー"
257,"子供が多すぎる","女性","レジャー"
258,"シーツが不快だった","女性","ビジネス"
259,"部屋に椅子がない","女性","ビジネス"
260,"バスで到着できない。部屋のアメニティの質が低い。","女性","レジャー"
261,"立地は良いが駅から遠すぎる","女性","レジャー"
262,"レイトチェックアウトも全く問題ありませんでした。 素晴らしいサービス。","男性","ビジネス"
263,"このホテルは時代遅れです。 小さな部屋, アメニティが少ない。","男性","ビジネス"
264,"部屋があまりに匿名です。 追加料金が高すぎます。","女性","レジャー"
265,"素敵な場所ですが、キッチンはあまり良くなく、値段が高すぎます。","女性","ビジネス"
266,"部屋の内装は古めかしく、使い古されています。","女性","レジャー"
267,"プールの利用は有料です","男性","ビジネス"
268,"部屋のカーペットにシミがあった","女性","ビジネス"
269,"皆さんとてもフレンドリーで親切でした。","女性","ビジネス"
270,"雰囲気, 親しみやすさ","女性","レジャー"
271,"サービス, 親しみやすさ, 清潔さ","女性","レジャー"
272,"素晴らしいサービスですが、非常に古めかしいので、早急に修復/改修が必要です。","女性","ビジネス"
273,"操作と受信が素晴らしい。","女性","ビジネス"
274,"朝食ビュッフェ","男性","ビジネス"
275,"素晴らしいロケーション","男性","ビジネス"
276,"完璧なロケーション","男性","ビジネス"
277,"私たちの期待はすべて満たされただけでなく、それを超えました! とてもフレンドリーで親切なスタッフ","女性","レジャー"
278,"客室内に無線LANはありません, 部屋が悪い, 壊れたエアコン","男性","ビジネス"
279,"客室内にWi-Fiはありません, 部屋が悪い","男性","レジャー"
280,"受付のスタッフはとても親切で丁寧でした","女性","レジャー"
281,"予約ができませんでした。","女性","ビジネス"
282,"完璧な予約","女性","レジャー"
283,"予約はうまくいきました。","女性","レジャー"
284,"朝食ビュッフェは素晴らしく、スタッフはとてもフレンドリーでした","女性","レジャー"
285,"チェックアウトはとても良かったです。","女性","ビジネス"
286,"防音は非常に良かった","女性","レジャー"
287,"残念ながら, 部屋は非常に古くて居心地が悪い。","女性","レジャー"
288,"残念ながら, バスルームの清掃が非常に不十分でした。","女性","レジャー"
289,"エレベーターが小さすぎます。","女性","ビジネス"
290,"エレベーターはとても便利","男性","レジャー"
291,"優先ゲストアップグレード","男性","ビジネス"
292,"アップグレードなし","男性","ビジネス"
293,"客室無料アップグレード","男性","ビジネス"
294,"追加料金で部屋のアップグレードを提案されました","男性","ビジネス"
295,"素晴らしい朝食ビュッフェ。 必ずまた来ます。","女性","レジャー"
296,"客室のアップグレードプログラムが素晴らしい","男性","ビジネス"
297,"豪華な客室, 素晴らしいロケーション","女性","レジャー"
298,"アップグレードは提案されませんでした","男性","ビジネス"
299,"優れたインフラ, 素晴らしい料理, 完璧なロケーション","女性","レジャー"
300,"価格パフォーマンスに優れた美しいホテル","女性","レジャー"
301,"価格","女性","レジャー"
302,"価格性能比が良い","女性","レジャー"
303,"ホテルは素敵です, ただし、中心部に位置しているわけではありません。","女性","ビジネス"
304,"悪い場所","男性","レジャー"
305,"ホテルの周辺はとてもよく整備されていました。","女性","レジャー"
306,"ホテル周辺はとても悪かった","女性","ビジネス"
307,"中心部に位置する","女性","ビジネス"
308,"美しい環境。","男性","ビジネス"
309,"最高のロケーション","女性","レジャー"
310,"この地域は非常によく整備されていました, 部屋はとても広い","女性","レジャー"
311,"部屋の質","男性","レジャー"
312,"部屋の広さが素晴らしい","女性","ビジネス"
313,"素晴らしい部屋のサイズ","女性","レジャー"
314,"客室内で無料WiFiを利用可能","女性","レジャー"
315,"客室内に無料WiFiはありません","男性","レジャー"
316,"無料Wi-Fiなし","男性","レジャー"
317,"このホテルは時代遅れです。","女性","ビジネス"
318,"残念ながら、滞在は非常に残念なものでした。","女性","レジャー"
319,"ホテルは完全に混雑していました。 部屋に無料Wi-Fiがない","男性","レジャー"
320,"不十分なアメニティ","男性","ビジネス"
321,"不快な雰囲気","男性","ビジネス"
322,"心地よい雰囲気","女性","ビジネス"
323,"時代遅れの雰囲気。 ポルティエは挨拶をしません。 バスルームの暖房が効きません。","女性","レジャー"
324,"素晴らしいホテル","女性","レジャー"
325,"最高品質。 広い部屋にアップグレードしてもらいました","男性","ビジネス"
326,"ホテルは私たちの期待を完全に満たしてくれました。","女性","レジャー"
327,"敷地はとてもよく整備されていました。 とてもきれい","女性","ビジネス"
328,"雰囲気もスタッフのサービスも素晴らしいです。","男性","レジャー"
329,"雰囲気もスタッフのサービスも素晴らしいです。","男性","ビジネス"
330,"私たちは本当に楽しい滞在を楽しみました。","女性","レジャー"
331,"中心部に位置していない","男性","ビジネス"
332,"お金に見合う価値はそれほど良くありません。 高すぎる。","男性","レジャー"
333,"待ち時間が長い。 スタッフは非常に失礼です","女性","ビジネス"
334,"バーでの長い待ち時間","男性","ビジネス"
335,"朝食ルームの不愉快な雰囲気","男性","レジャー"
336,"部屋が利用できません","女性","ビジネス"
337,"施設はよく整備されており、アップグレードしてもらえました","男性","レジャー"
338,"スイートは予想通り、ゆったりとしていてとても素敵でした","女性","レジャー"
339,"悲惨なチェックアウト。 注文していなかった追加料金を請求されました。","女性","ビジネス"
340,"部屋が利用できません","男性","ビジネス"
341,"素晴らしい, フレンドリー, 信頼できるサービス","男性","ビジネス"
342,"タバコの煙による不快感","女性","レジャー"
343,"テレビはとても古かった","男性","ビジネス"
344,"素晴らしいフィットネス施設","男性","ビジネス"
345,"とても親切で丁寧なホテルスタッフ。","女性","ビジネス"
346,"素晴らしい場所です。 また戻ってきます","女性","レジャー"
347,"とても親切なスタッフ, どこでも","男性","レジャー"
348,"チェックインの迅速な完了","女性","ビジネス"
349,"簡単なチェックインとチェックアウト","男性","ビジネス"
350,"受信が遅い, 効果がなく、信頼できない。","女性","レジャー"
351,"改善の清潔さ","女性","レジャー"
352,"素晴らしいデザインです。","男性","ビジネス"
353,"贅沢なスパエリア","男性","レジャー"
354,"新聞は入手できません。","男性","ビジネス"
355,"新聞はありません。","男性","ビジネス"
356,"完璧な価格性能比。 本当にお勧め","女性","レジャー"
357,"完璧さと贅沢さに満ちたホテル","女性","ビジネス"
358,"スタッフからもっとサポートを期待していた","男性","レジャー"
359,"素晴らしい滞在でした, サービスは本当に良いです。","男性","レジャー"
360,"フレンドリーなスタッフ, 良いサービス","男性","ビジネス"
361,"良いサービスとフレンドリーなスタッフ","女性","レジャー"
362,"とてもフレンドリーな歓迎と豊富な朝食ビュッフェ","女性","ビジネス"
363,"素晴らしいサービス, とてもフレンドリーなスタッフ。","女性","レジャー"
364,"その時のサービスは素晴らしかったです。","男性","ビジネス"
365,"サービスは素晴らしいです。 完璧なロケーション","男性","レジャー"
366,"ルームサービスは迅速かつフレンドリーです。","女性","ビジネス"
367,"ルームサービスはとても迅速でした。","女性","レジャー"
368,"ルームサービスはとても迅速でした。","男性","ビジネス"
369,"とても清潔で水準も高かったです!","男性","レジャー"
370,"フレンドリー, 親切なスタッフ。 とてもおいしい朝食でした！","女性","ビジネス"
371,"私たちの期待はすべて満たされただけでなく、それを超えました!","女性","レジャー"
372,"部屋の質と清潔さは期待通りでした","男性","ビジネス"
373,"それは本当に素晴らしいことだと思いました。","男性","レジャー"
374,"上品に装飾されています。 フレンドリーなスタッフ","女性","レジャー"
375,"設備が整っています。","男性","ビジネス"
376,"抜群の快適性。 素晴らしいロケーション。 格安の宿泊施設。","男性","レジャー"
377,"価格が高い。","女性","レジャー"
378,"チェックイン時に待ち時間はありません。 すべて大丈夫です。","女性","ビジネス"
379,"プールではサービスなし","女性","レジャー"
380,"土曜日の朝のルームサービスが悪かった","男性","レジャー"
381,"妻と私はぐっすり眠れました。 完璧なピックアップサービス","男性","レジャー"
382,"受付でのサポートなし","女性","ビジネス"
383,"コンシェルジュからのサポートが不十分","女性","レジャー"
384,"受信状態が悪かった。 二度としない","男性","ビジネス"
385,"スタッフは圧倒されました","男性","レジャー"
386,"出発時に有料シャトルを手配した","女性","レジャー"
387,"とてもフレンドリーなスタッフ。 家族のような場所","女性","ビジネス"
388,"素晴らしいスタッフの態度","女性","ビジネス"
389,"無料シャトルサービス","男性","レジャー"
390,"シャトルはありません。 ソープディスペンサーが補充されていない","男性","ビジネス"
391,"シャトルサービスは無料ではありません。 フロントデスクのスタッフは傲慢で失礼でした。","女性","レジャー"
392,"空港送迎が機能していませんでした。","女性","ビジネス"
393,"ホテルに泊まって楽しかった, しかし残念ながら非常に非人格的です。","男性","レジャー"
394,"屋外プールは汚い印象を与えた","男性","ビジネス"
395,"良いピックアップサービス, しかし、バスルームは不潔でした。","女性","ビジネス"
396,"予約に問題があります。 もう二度としません。","女性","レジャー"
397,"トイレと部屋の嫌な匂いもはっきりしました。","男性","ビジネス"
398,"アップグレードはありません。 チェックアウトが複雑です。","男性","レジャー"
399,"客室内にWi-Fiはありません, 部屋は悪かった。 二度としない","男性","ビジネス"
400,"浴室に錆びた臭いがする。","女性","レジャー"
401,"浴室に換気設備がありません。 下水からの悪臭","女性","ビジネス"
402,"子供たちのための無料のベッドはありません。 認識されません。 アップグレードされませんでした","女性","レジャー"
403,"不快な臭い、不十分な換気","女性","レジャー"
404,"プールエリアは素晴らしかったですが、部屋のエアコンは効きが悪かったです。","男性","ビジネス"
405,"非常に丁寧なスタッフ。","男性","レジャー"
406,"素晴らしいサービス。","男性","ビジネス"
407,"最高級ホテル。 とても楽しい","女性","レジャー"
408,"スタッフは非常に不親切です。同僚にはこのホテルを勧めません。","女性","ビジネス"
409,"無能なホテル経営。 シャトルなし","男性","ビジネス"
410,"朝、玄関に無料の新聞をお届けします","男性","レジャー"
411,"素晴らしい ！ 簡単に予約できます。 素晴らしいテレビ","女性","レジャー"
412,"本当に一流の高級ホテルです。 部屋に心地よい香りが漂います。","女性","ビジネス"
413,"快適に感じました","男性","レジャー"
414,"すべてが完璧でした。 受付の対応はとてもフレンドリーで親切でした。 騒音はありません。 とても清潔です。","男性","ビジネス"
415,"エレベーターは動いていませんでした","女性","ビジネス"
416,"妻にとってすべてが完璧でした, 私と3人の子供たち。","男性","レジャー"
417,"素晴らしいアップグレードです。 簡単なチェックアウト","男性","ビジネス"
